date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
10/31/2021,1.77173913,58.18478261,6.804347826,-2.184782609,-2.043478261,11.20652174,Bhagalpur
1/31/2022,16.50819672,72.1147541,25.27868852,6.983606557,4,10.04918033,Bhagalpur
1/31/2021,-4.129032258,37.51612903,-7.741935484,-13.61290323,-7.516129032,14.64516129,Bhojpur
4/30/2021,4.842696629,53.42696629,-6.561797753,-4.370786517,-10.06741573,13.14606742,Bhojpur
7/31/2021,-0.543478261,52.14130435,-11.22826087,-9.97826087,-10.39130435,14.95652174,Bhojpur
10/31/2021,16.33695652,64.36956522,-11.64130435,6.543478261,-0.369565217,12.93478261,Bhojpur
1/31/2022,29.91803279,78.31147541,-6.508196721,23.27868852,6.032786885,11.08196721,Bhojpur
1/31/2021,-16.12903226,13.09677419,-3.322580645,-12.80645161,-8.516129032,11.96774194,Buxar
4/30/2021,-10.15730337,28.5505618,2,-1.617977528,-12.51685393,10.50561798,Buxar
7/31/2021,-17.20652174,19.17391304,9.923913043,-5.380434783,-14.23913043,12.68478261,Buxar
10/31/2021,-7.032608696,40.76086957,37.59782609,11.7173913,-6.945652174,10.18478261,Buxar
1/31/2022,4.508196721,59.19672131,68.21311475,31.45901639,-0.93442623,8.327868852,Buxar
