District,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021,10-08-2021,11-08-2021,12-08-2021,13-08-2021,14-08-2021,15-08-2021,16-08-2021,17-08-2021,18-08-2021,19-08-2021,20-08-2021,21-08-2021,22-08-2021,23-08-2021,24-08-2021,25-08-2021,26-08-2021,27-08-2021,28-08-2021,29-08-2021,30-08-2021,31-08-2021,01-09-2021,02-09-2021,03-09-2021,04-09-2021,05-09-2021,06-09-2021,07-09-2021,08-09-2021,09-09-2021,10-09-2021,11-09-2021,12-09-2021,13-09-2021,14-09-2021,15-09-2021,16-09-2021,17-09-2021,18-09-2021,19-09-2021,20-09-2021,21-09-2021,22-09-2021,23-09-2021,24-09-2021,25-09-2021,26-09-2021,27-09-2021,28-09-2021,29-09-2021,30-09-2021,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,Mean Vaccination
Baksa,207522,217757,227034,229357,238018,249882,258854,259621,270525,281968,283598,290326,294845,307140,314973,320892,338046,344062,350523,354758,357251,357503,366375,374417,377073,383902,396720,405400,407453,412588,421698,424348,428873,438036,445754,447592,454611,467026,471022,478839,488680,496846,500714,508050,514071,517024,523540,541072,545444,554110,563176,570560,574650,583512,592098,599748,603075,608903,612485,614969,616414,617125,635493,635646,638136,640687,641991,644765,645669,650548,653635,657594,658286,658657,658944,659095,660321,660465,662542,664782,665805,667754,670034,672159,672380,675959,678909,681099,684423,688302,690330,690541,501820.0
Barpeta,476205,486004,506281,515054,527027,544008,559721,562149,577277,588673,594096,610611,627101,636824,647254,667372,686627,690446,702916,713584,716641,718064,737968,756154,767966,774990,789196,802173,803921,822238,841988,852002,869595,889268,900975,904865,928142,949347,954546,977264,1000180,1013121,1025173,1047495,1056736,1064611,1069990,1125016,1132002,1138661,1161721,1180149,1188792,1204781,1217198,1229983,1237491,1251642,1265112,1277077,1287103,1293148,1318962,1322417,1331722,1341860,1351289,1374212,1388118,1400425,1409724,1422658,1428186,1429896,1430783,1431143,1434350,1438746,1447826,1454944,1460007,1467561,1475427,1482593,1484015,1495176,1506229,1515563,1524859,1533917,1541650,1543054,1057946.0
Biswanath,317746,324788,332871,337256,344582,351775,357851,358146,364250,370533,374925,380600,385374,392985,395887,397991,404239,409181,414713,421431,426058,426872,430555,435520,438670,443167,447073,450177,451038,453225,456127,457860,460540,464993,467498,468259,471968,475481,477877,480810,484335,487291,488281,495239,501503,507019,512156,527357,529342,531354,534952,539215,542145,545705,548747,551635,552818,555851,557690,558898,560104,560666,578060,578374,580749,582556,583513,586115,587278,593416,597472,602095,602135,602198,602315,602408,603010,603105,604929,608554,611462,616439,622149,626967,628137,635298,641792,647566,654783,660886,667363,669525,506237.0
Bongaigaon,245877,252810,259603,261853,266353,272832,280045,286773,293634,300351,303110,309722,317271,326704,334108,343458,356813,359936,370640,377164,377289,384108,392276,400755,403477,409541,414979,421608,426064,432881,438843,440572,446692,452366,457289,460667,468722,475294,477342,483249,488163,492684,494623,499727,503768,505790,510440,529809,533193,536690,543499,548705,550946,556241,560808,564014,566018,569940,573783,575055,576325,577836,605660,606142,608218,610845,611897,618864,624205,629891,632658,637007,637441,637441,637451,637451,639114,640631,643416,645556,646173,649233,651933,654353,655884,659717,663642,665426,669148,672362,675652,677024,498756.0
Cachar,490357,499585,505807,510446,517388,523211,527766,531464,541426,550493,556532,565375,571562,590158,597422,620757,642181,646400,647919,652783,663173,664071,677609,684476,687223,701274,712801,730798,737815,746116,754721,761119,768585,785349,803012,807119,824777,850948,865745,887701,906979,920397,923159,940529,952935,958817,970000,1038031,1047616,1054571,1075227,1095844,1107738,1119659,1127510,1135764,1145480,1164710,1186418,1206594,1226244,1241328,1278570,1285772,1298970,1310559,1322377,1343203,1363644,1386841,1404036,1417230,1419012,1419206,1419613,1419737,1420308,1422414,1428143,1431846,1433968,1437731,1442568,1446822,1455384,1465308,1473797,1479881,1486143,1493235,1500686,1503801,1003911.0
Charaideo,186945,192598,194818,196525,201091,203482,204205,205291,209638,213828,215166,219155,223982,231549,233104,237099,242446,244076,250363,254189,256471,256685,260102,263747,264962,268466,271044,273817,274692,275561,279321,280018,284991,290447,295781,295841,299150,302186,303977,306074,311228,317819,322952,325425,327089,327708,328352,337615,338411,338411,341351,344860,346118,348999,352453,355896,355919,357953,360449,361386,362348,362975,367601,367662,369844,373003,375340,378200,378929,380706,382590,384670,384671,384671,384671,384671,385227,386751,386861,389883,390561,394267,397284,401409,401623,406407,410133,411358,414990,417498,420315,420344,317617.0
Chirang,139510,144170,149676,151686,156097,160814,164760,164935,169094,173949,175780,178647,181261,184063,187185,191980,197284,198923,203699,207295,210877,211471,214952,218625,219992,223866,228140,233273,234956,239669,243810,245030,249636,253880,257971,259573,264415,269314,270547,274408,279705,283441,283451,289855,294956,297673,300988,312643,316130,316163,320951,324132,326191,329258,332452,335441,335479,338407,340056,341032,341877,342695,350087,350139,351611,353290,354455,356369,358670,361851,363423,366079,366772,367155,367450,367643,368802,368923,371394,373193,373910,375667,377416,378874,379032,381977,384586,386002,388111,389470,390982,391093,286985.0
Darrang,252501,260195,268096,273456,277428,284599,291548,293512,301160,308303,312074,318937,326521,338191,346344,356727,372011,379735,385594,394480,395833,397990,407276,417276,425591,433822,442463,451932,453041,460304,466867,470948,477723,484318,490106,491278,498741,505921,512637,521948,530510,538566,538942,548917,557464,562713,566738,587234,588457,589236,600724,610293,618605,625811,628779,635363,635855,643528,650753,653552,655860,657743,684244,685099,688221,690989,693311,697828,702050,708566,713290,718788,719261,719444,719593,719729,721495,721674,724985,727436,728675,732903,736788,740848,741254,745964,752355,759628,766993,772975,779872,780507,549650.0
Dhemaji,257418,266687,274462,275690,282971,287935,290108,290111,297593,308429,310672,313639,322401,335681,337810,351627,366226,370637,378368,379694,383844,384230,392142,396303,398450,403931,411122,417929,418812,423560,428955,429795,435092,439819,444767,444796,450328,455153,456394,461998,465727,469916,470267,476573,482261,483382,486487,503467,506239,506370,513871,519891,523319,528119,533802,535770,535862,537711,538986,539724,540938,541577,555434,556141,558711,561546,562165,565702,567949,571879,575288,579911,580249,580279,580318,580407,580561,580618,582485,585591,586184,590832,594604,597187,597302,600366,602991,604209,608920,612937,615941,616043,473354.0
Dhubri,305434,316295,326532,335790,344814,351181,361892,370966,381849,382973,382955,382955,392825,402413,405434,414704,433246,447863,451844,452728,462606,462787,477432,491776,503781,514820,526518,533247,533624,533736,547152,557715,569901,586411,602949,610454,611550,629126,645626,660815,681413,701903,705053,723789,728914,729311,746401,790709,801032,818238,839538,860446,873341,879260,880874,899965,915098,934188,945276,952641,959135,964376,1011027,1015018,1020171,1027171,1039075,1053861,1066012,1079886,1091127,1102279,1105720,1106117,1106204,1106223,1106253,1109812,1115404,1119970,1122280,1126377,1130889,1134641,1136866,1142553,1149008,1154531,1160824,1166459,1172012,1174960,762939.0
Dibrugarh,561287,572242,580017,584436,601402,614771,625571,635002,647094,657404,663390,668138,678540,694983,712001,729754,750506,763221,768536,771920,775015,777255,785891,799623,810476,826113,839508,856176,867737,869311,886568,897223,912254,927007,938902,947490,961972,973676,979501,987779,995523,1004062,1009492,1021982,1033274,1039663,1047448,1078377,1080677,1084857,1096717,1108793,1117349,1129708,1141256,1150540,1154216,1160165,1165064,1168530,1172272,1175352,1205535,1207473,1210819,1214251,1217054,1221493,1228455,1236698,1242891,1248748,1249545,1249774,1249979,1250102,1253213,1257469,1264246,1270300,1272198,1278858,1286688,1293936,1297876,1304807,1312317,1317622,1325599,1332817,1340734,1345440,1011108.0
Dima Hasao,95901,96696,97338,97974,98594,99219,99767,100147,101045,101776,102438,103076,103400,103551,103605,104407,105866,106846,107565,108105,108747,108846,109509,110072,110720,111137,111537,112011,112125,112553,113426,114139,114621,115196,115876,115974,116765,117449,118365,119026,119497,120379,120538,121576,122713,123604,124297,130664,131980,132145,134246,136121,137580,138784,140684,142385,143039,144521,145255,146234,146901,147638,152063,152390,154195,155312,156930,158444,160069,163031,164329,166605,167028,167081,167163,167183,167324,167395,168446,169422,170072,170818,171491,172356,172642,173602,174225,175049,176150,177473,178692,178911,133392.0
Goalpara,247937,262139,276217,278704,288537,297239,301376,302269,312044,318375,319917,327885,335931,346935,347851,359315,371615,374301,385561,393064,396885,396952,408899,419495,421493,430359,438738,444506,445019,451932,461787,463673,473501,483589,491974,492360,513981,534655,541356,559860,575205,587154,588304,605717,616245,625617,641101,669757,677129,678199,695175,705983,711417,719173,726491,731996,733035,739843,745390,748927,751771,753330,768910,769503,773725,778365,781554,786478,790471,794157,795814,800211,800697,800757,800793,800875,802690,802715,807596,811180,812577,816451,820275,822772,822799,828011,834903,839400,846666,853157,857409,857537,598083.0
Golaghat,435146,454340,472614,481036,499889,511417,526425,530033,538047,546997,549661,554768,567149,578001,587373,597975,613787,616214,619948,625443,630727,630796,638876,648776,651935,661816,667610,673787,674864,677101,685713,687765,695857,706320,715092,717062,727973,737347,738970,748191,755300,762366,763085,773754,782985,787351,793579,811129,813586,815328,821632,827446,828798,834297,839883,844580,847460,855092,860876,864589,867714,870242,883434,885341,891450,895849,896608,902464,907140,911988,914615,918348,918717,918897,918997,919067,920933,921672,922862,931789,933816,945096,954200,960275,960367,967507,977332,979843,988437,1002239,1015129,1018309,768768.0
Hailakandi,215681,221765,227485,230322,237018,240038,245126,246632,252076,258864,261821,263425,270042,279500,284281,295847,307102,310918,311731,313310,320423,326770,335435,343926,348399,356277,363765,371612,375993,380888,387341,393240,399933,405619,410061,414944,420732,426875,431863,437705,443547,448820,452856,457221,461655,462878,463000,486057,486370,490604,495108,498680,500351,502570,504948,507361,507892,508935,510511,510965,511359,511545,525740,527545,528934,530304,530696,532053,532518,537345,540806,542715,542970,543035,543106,543106,543135,543695,546032,547835,548222,551344,553489,555128,556212,558516,561084,562314,564839,566550,568390,569183,435270.0
Hojai,289203,297791,304921,305836,312772,316653,322411,322593,333114,338359,340253,349771,360773,375811,378088,392500,409426,415028,415042,428006,434266,435516,447859,460946,464204,476668,489883,501320,504745,516003,527061,528733,540616,552228,560157,562174,574714,586673,592978,603175,612641,620910,622158,631311,640729,642113,645926,676925,678410,678948,689107,696429,698388,702673,718703,722151,722508,726902,729675,730139,731073,732025,758373,758766,762608,766393,767322,771380,774391,784055,792878,800728,800888,800888,800895,800902,801612,802301,803733,808411,809499,814428,823526,833299,833598,844375,853712,854978,861099,867852,873048,876539,616528.0
Jorhat,449598,462851,479491,490354,497940,498886,513748,525018,539512,551442,558065,571925,587797,603148,612074,629004,647508,658124,660906,671833,679668,680894,689053,696988,700978,707304,713348,718264,719739,722671,725569,727178,730354,733876,737846,738898,742225,745529,747357,749788,751674,753496,753787,756558,759188,761285,763152,784294,785673,786264,792720,797348,799921,802935,806872,811416,811877,814355,816162,817477,818437,819207,839777,839798,841998,846307,848029,852142,854426,859327,862157,867104,867749,868018,868339,868402,871146,872276,873659,879445,881652,888169,895923,902074,903931,911181,918061,922393,930946,938130,944612,946991,754837.0
Kamrup Metropolitan,1177617,1190091,1203191,1212112,1224492,1237582,1250565,1255696,1270894,1283928,1293314,1306672,1319433,1334272,1342448,1355378,1375664,1386250,1400350,1410235,1423523,1428545,1443857,1458721,1469582,1484701,1500919,1518986,1530237,1541880,1554997,1562207,1576193,1589167,1604395,1613705,1630229,1645200,1655152,1668131,1680335,1695669,1700707,1716764,1730008,1737258,1744873,1792411,1801684,1808436,1827080,1843152,1853225,1866994,1875870,1887288,1892513,1903369,1913301,1919933,1924651,1928471,1968807,1972092,1980300,1987322,1992325,1999382,2005871,2016562,2020519,2026195,2028466,2029655,2030636,2031291,2034601,2036282,2043103,2049587,2053258,2059982,2067229,2074976,2077356,2086315,2094197,2100083,2107278,2113622,2120064,2122136,1718522.0
Kamrup,565585,589058,607060,614620,630814,641922,659983,662808,681796,695463,699347,704909,727761,752192,762388,784620,809234,814011,819641,828742,841093,841959,855424,877072,885252,897503,923370,944003,948067,960789,978286,983508,1000405,1016029,1035406,1038210,1060020,1081894,1092152,1112267,1129635,1143828,1145278,1164446,1177249,1181156,1188753,1223598,1226830,1227794,1244091,1258392,1264753,1276131,1285720,1293391,1293699,1300586,1307027,1310507,1313447,1315105,1338476,1338838,1344097,1347796,1349444,1353231,1357473,1364396,1370344,1380363,1382100,1382513,1382872,1383012,1387118,1388637,1394874,1404101,1406216,1415170,1424747,1431900,1432441,1443306,1453353,1460493,1469483,1479825,1488236,1488720,1116735.0
Karbi Anglong,153369,156917,160836,164748,166470,169272,172668,172858,175704,178404,179219,181921,184610,187213,188494,192018,194996,195382,198781,201071,203713,203883,206740,209141,209425,212062,214386,216470,216533,218873,220638,222313,223861,225970,227941,228166,231496,234885,236962,239891,242764,245819,245923,249543,252254,253696,254553,267936,269226,269321,272985,275721,277252,280110,282773,285104,285198,287744,290369,292942,295867,297732,310288,311114,313555,316144,318092,320757,324714,329113,333645,339565,340422,340571,340647,340689,341721,342722,345577,348264,350093,352404,356021,360314,360876,365786,371812,375242,378773,382813,386776,387398,264555.0
Karimganj,261852,269232,279005,281312,289137,298516,304824,306161,312682,322020,323901,329137,334504,343942,344865,355698,373360,378626,386678,389728,393732,395770,405176,413299,415306,423760,430931,438716,442906,449878,460675,464002,470224,479676,489632,492451,499615,508923,516373,525744,535323,544051,547954,556892,565953,569814,582425,609506,621552,634205,645643,659063,669742,680570,690175,699590,706458,715637,724563,730242,743726,748891,767711,774535,780510,790144,801154,811856,821144,827439,831735,836983,838290,838337,838417,838464,838604,839270,842872,845335,846695,850330,854365,857618,859044,863773,868436,871235,875421,879342,883078,884791,597183.0
Kokrajhar,210663,220883,229769,239727,246738,252981,264217,264283,276140,285081,289232,296822,304753,312349,315883,324716,336281,343117,348799,352410,353320,353335,362276,366185,370403,375788,382031,391663,397142,403178,409960,414018,420998,427376,433790,437616,445047,455998,464675,473946,483808,492874,497239,500754,502040,506453,518378,540513,546261,553029,564800,572460,575553,579417,585723,588304,591358,595540,597500,599666,602312,605805,622845,623322,625198,628680,631178,635402,639823,644776,648795,652206,652207,652207,652224,652224,654733,656625,660005,662727,663259,666121,668823,670819,671743,675816,680241,684009,688073,691881,694404,695389,497817.0
Lakhimpur,392852,404442,414014,424369,437869,451458,460730,464180,475424,482949,483585,483597,496497,509551,518016,528062,545336,558421,567876,569383,579759,580288,591359,599192,610329,615482,618644,629601,638799,640950,650885,653312,656820,667138,674904,680349,684061,685950,694845,702976,709438,715906,717123,722903,727975,730506,731762,761560,762017,764662,773129,779576,785743,793109,799432,804326,804958,807115,808815,810047,811138,812029,838283,840363,845042,848962,852134,855721,859581,872632,883641,895430,895496,895509,895525,895546,898781,900843,903538,909323,914461,919976,926128,933005,934721,942522,951382,957449,967274,974924,981052,982755,724234.0
Majuli,112142,114066,115551,116832,118150,119315,121100,121100,122769,124409,125162,127223,128356,130501,132245,133661,135337,136841,137950,139467,139878,139928,141091,141645,141860,142484,143104,143696,143696,144418,145033,145327,146002,146702,148381,148786,149409,150163,150375,151039,151724,152386,152386,153793,153959,154109,154411,162186,163334,163516,165408,166367,166600,167275,168704,170489,170781,171900,172364,172879,173549,173878,177722,177843,178423,179015,180010,181830,181982,183710,185083,186229,186562,186918,187299,187483,188078,188279,188737,189189,189593,190172,190554,191296,191406,192670,193921,195303,196888,198535,199904,200106,159369.0
Morigaon,318318,325491,334637,336035,344115,351501,358314,358715,366759,374561,375529,384095,393084,404852,406337,416001,425790,426650,435504,440462,444219,444547,451511,459168,460141,467867,474654,482457,484716,490300,497513,498979,508048,518168,527652,528915,540797,551541,554906,564106,573798,582546,583662,595356,605539,606520,613360,642096,645990,646720,653806,660270,660866,666783,672321,676737,676938,680567,683757,684135,686225,687528,707321,707814,709934,713937,714323,717609,721278,728092,733713,740366,740412,740500,740551,740606,743610,745302,747359,752871,753507,759721,766015,771392,771433,776637,782384,784150,790733,797519,803846,804592,589348.0
Nagaon,592167,605104,617304,628324,640515,652477,664373,666035,680677,695486,707955,711849,724053,739626,744002,762082,792046,796448,803535,813587,819924,821012,835333,848500,857591,872132,889840,907220,911875,922607,938535,954402,969860,986650,1000851,1004942,1021492,1032999,1044397,1063518,1084024,1102639,1107767,1118814,1129111,1134499,1138987,1198614,1198709,1203690,1221178,1237707,1249627,1264784,1281932,1299126,1303877,1322926,1339480,1351815,1362431,1368766,1430569,1431481,1442572,1452564,1462622,1476644,1487240,1507938,1517564,1528485,1529710,1530595,1531941,1533412,1543781,1543853,1549884,1555747,1560235,1570769,1587742,1594106,1598782,1607587,1615423,1625085,1634378,1642359,1649673,1651912,1153875.0
