District,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,Mean Vaccination
Bageshwar,3041,3064,3105,3163,3283,3938,3959,3995,4063,4147,4190,4255,4255,4257,4314,4315,4315,4317,4319,4319,4319,4319,4319,4319,4319,4318,4318,4318,4318,4323,4444,4565,4837,4983,4983,5462,5982,5984,5984,6371,6382,6382,7107,7108,8075,9085,10019,10588,10770,11787,12937,13481,14361,15300,16002,16002,16002,16002,17019,19365,20748,22015,22681,25175,26645,30284,32973,35430,37329,38848,39721,41017,41961,43091,44311,45595,45595,46724,47627,48365,49151,49866,50593,50869,51697,52605,53539,54631,55628,18246.0
Chamoli,6896,6934,7067,7284,7435,7437,7752,7871,7985,8090,8108,8114,8348,8350,8976,9282,9604,9712,9816,9816,9816,9816,9816,9816,9816,9482,9482,9483,9483,9746,9746,10310,10915,11130,11130,11822,12503,12848,12848,13615,13952,14208,15225,15239,17487,18931,20794,22098,22525,23757,24745,25535,26889,28373,28545,28545,28545,28913,29526,30417,33831,35498,38104,40868,44497,50614,55540,58402,58775,59865,62531,66254,67376,69824,72064,73744,74122,76103,77723,78443,80031,81140,81897,82150,83040,83813,84422,85071,85953,31286.0
Champawat,4477,4528,4591,4628,4728,5393,5453,5519,5626,5696,5749,5793,5793,5794,5943,5950,6255,6543,6593,6596,6596,6596,6596,6596,6596,6590,6590,6590,6590,6759,6924,7219,7597,7600,7600,8111,8509,8523,8523,8923,8924,8924,9407,9407,9881,10390,10854,10857,10857,11545,12151,12151,12808,13289,13289,13289,13289,13473,13473,13566,15467,16898,19010,20401,22037,24931,27294,29485,31192,32750,34875,35349,35842,36292,36459,37134,37130,38168,38856,39395,41093,43156,44902,45859,48327,49958,51478,52713,53609,17182.0
Dehradun,24591,25203,27534,29280,31588,34426,34488,35772,37235,38186,39936,40765,41883,42549,43404,44457,45470,44223,46317,46388,46390,46420,46438,46438,46438,46413,46413,46414,46414,47205,47756,49027,51153,53520,53762,56677,60074,61743,62348,66616,68027,68221,72962,72966,80133,85112,89961,91771,92160,96668,100277,103300,107296,110622,112657,112721,112721,116053,119548,142618,154766,165173,175359,186664,194090,211567,224149,233104,238027,240143,250947,258108,264426,271184,278293,284787,284964,292099,298034,304212,311484,317363,324654,328048,334294,338112,344009,349902,355621,129783.0
Haridwar,13449,14024,14456,15345,15887,17103,17794,18447,19688,24487,25530,27105,28738,29472,30925,32395,35925,33277,37554,37954,37994,38220,39032,39271,39591,38794,38794,38794,38794,40644,41973,43786,45460,47480,47843,49830,51419,53366,53775,57915,62101,62345,65368,65447,74108,78119,82897,86456,87083,91242,95537,99071,102948,106620,108645,108649,108649,110988,113835,117033,123283,128291,133178,139327,144832,156027,166962,175589,179969,183166,188770,193242,196205,199342,204257,207626,207678,212617,216419,218807,222394,225888,228838,230477,234046,237461,240076,243255,245890,99813.0
Nainital,12133,12314,12595,12848,13031,13310,13771,13883,14047,14492,14739,14898,15039,15363,15894,17205,18546,18122,19250,19256,19256,19256,19256,19256,19256,19256,19256,19256,19256,19692,20280,20994,21604,22952,22952,23909,24723,24915,25204,26014,26140,26141,26809,26811,27613,28312,28909,29109,29114,29853,30611,30902,31534,32100,32313,32314,32314,32738,33049,59439,64267,67912,72588,76689,79671,86375,90355,93900,96804,98346,102485,105358,107628,109227,113585,117704,117732,122178,125993,129557,133158,137680,141758,144030,147816,149497,153329,157065,161305,52330.0
Pauri Garhwal,6736,6830,6929,7476,7783,8090,8452,8608,8740,8942,8999,9461,9972,9972,9997,9997,9998,9946,10196,10203,10203,10203,10203,10203,10203,10062,10062,10062,10062,10674,11072,12426,13381,14075,14075,15395,16235,16673,17084,18863,19566,19566,21644,21697,24713,27088,29553,30642,30868,33803,36506,38011,41287,44778,46289,46289,46289,47231,48410,49727,52564,56361,60046,64577,68419,73774,79419,85563,88438,89940,92305,96097,98119,100843,104953,108129,108222,112180,116369,118785,121655,123837,124934,125971,128782,130967,132963,134960,136358,45708.0
Pithoragarh,7559,7569,7809,8169,8398,8762,9718,10007,10252,10430,10816,11101,11272,11272,11510,11845,12091,11291,12262,12287,12301,12301,12301,12301,12301,12277,12277,12278,12278,12510,12747,13067,13348,13664,13664,13974,14216,14557,14557,14932,15214,15214,15677,15677,16348,16777,17261,17584,17584,18038,18393,18699,19067,19434,19541,19541,19541,19818,20212,21847,23107,24317,25478,27182,28467,32115,35667,38668,41445,43567,46009,46965,47489,48060,49023,50372,50520,52657,54279,55770,57455,59111,60659,60892,62856,64336,65598,66954,68001,24885.0
Rudraprayag,2163,2193,2193,2252,2267,2275,2275,2275,2374,2403,2423,2550,2879,2879,2950,3065,3498,3500,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3690,3785,3978,4169,4285,4285,4636,5361,5601,5601,6323,6450,6458,7009,7009,7527,8589,9665,9806,9895,10952,11732,11917,13075,13876,13990,13991,13991,14472,14591,15054,16549,17560,18775,20032,21182,22951,25134,25986,26783,27396,28459,29474,29848,30364,31406,32804,32807,34209,35665,36868,38506,38909,39083,39561,40799,41700,42654,43627,44437,14285.0
Tehri Garhwal,6947,6978,7426,7788,8144,8537,8653,8653,8729,8736,8872,8936,8952,8955,9029,9047,9234,9227,9341,9341,9341,9341,9341,9341,9341,9322,9322,9323,9323,9528,9659,10017,10310,10620,10620,10807,11234,11468,11468,11935,12316,12486,14172,14173,16843,19213,21512,22351,22517,24941,27139,28596,30894,33193,34213,34284,34284,35330,36049,36548,38375,40031,41166,44627,48200,55098,61110,64011,66740,68590,72955,75097,76181,78258,81128,83058,83058,85447,87167,88351,90853,91895,93848,94234,96570,98082,99384,100873,101760,34723.0
Udham Singh Nagar,9591,9889,10295,10666,10973,11443,11717,12002,12468,12912,13288,13617,13785,13927,14223,15168,16867,16357,17798,17798,17798,17853,17853,17853,17853,17741,17741,17741,17741,18397,19071,19859,20834,21938,21938,22984,23939,24809,24830,25910,26729,26984,28152,28153,30730,32520,34635,36759,37391,39756,42183,44495,46715,49126,51274,51375,51375,53333,55664,60818,65980,70292,75986,79709,83513,91397,99214,105660,112279,116480,120936,123498,124725,124977,129233,134153,134179,138706,142514,145673,149668,153393,156651,157446,160725,163084,165706,168509,171514,58016.0
Uttarkashi,4995,5029,5098,5388,5544,5812,6043,6086,6158,6370,6660,6962,7079,7125,7222,7268,7380,7346,7398,7416,7416,7416,7416,7416,7416,7331,7331,7331,7331,7948,8473,9098,9632,10114,10114,11367,12816,13662,13662,15108,15940,15940,17313,17315,19284,20788,22233,23273,23281,24731,26241,27472,29046,30422,31592,31701,31701,32336,33060,32644,35849,38359,41448,44284,46650,50862,54469,57551,59438,59959,61858,63141,63808,64600,65894,66827,67574,68716,69441,69935,70502,70651,71127,71418,72151,72680,73197,73806,74321,29479.0
Alipurduar,19333,19977,20026,20282,21794,22040,22040,22159,22359,22933,23163,23321,23631,23655,23721,23799,24034,30946,31152,31386,31386,31714,31714,31715,32175,32199,32199,32199,32199,32799,33982,35594,37766,39588,39588,42086,44460,46096,46956,48602,49596,49596,51702,51772,55743,57211,62443,65039,65118,70215,73946,76405,78229,84680,89742,89949,90026,93140,94625,85562,89106,92278,97474,101943,107047,114713,118430,122419,122438,124260,126836,127909,128093,128070,128288,128546,129302,130229,131692,135365,138043,140365,141484,141741,143695,144912,145593,145786,146177,70941.0
Bankura,41130,43043,43328,45147,46510,46510,46510,48156,48447,49818,49989,50125,50234,50243,50445,50794,51796,52212,56252,77536,84497,84535,84949,90832,91013,86916,86916,86916,86916,87493,87918,88561,89389,90429,90429,92750,95739,98776,101718,105049,107231,107455,111440,111452,119854,123949,127023,130348,131127,138368,145304,151466,156622,161545,163303,163303,163318,168698,170248,131559,132193,136368,141000,147063,154319,167488,178015,184802,190442,192981,197075,198080,198341,198397,198946,200247,200266,200474,201059,201537,201883,202432,203178,203217,205259,207888,210530,211155,211883,124383.0
North 24 Parganas,12236,12985,13015,14446,16456,16471,16471,18028,18372,18394,18411,18438,18452,18453,18476,18483,18514,18500,18521,18521,18521,18521,18521,18521,18521,18521,18521,18521,18521,18684,19069,20131,21653,23588,23693,26872,30632,34428,37243,40863,44544,44832,50022,50086,61523,67807,74423,80550,81855,87323,92247,98183,103212,110495,117250,117851,119148,124141,128942,133339,138451,141031,144691,147729,155709,168907,176576,185663,192879,196039,199570,201187,203675,204628,205699,206208,206243,207588,208786,209480,210083,211641,213485,214340,217066,221975,223913,225513,227721,92803.0
Birbhum,29969,30295,30632,30650,30695,31134,31191,31450,31975,39329,39534,39793,42824,42861,43034,43177,56187,65195,65393,66517,66708,66741,67191,67347,67696,67735,67735,67735,67735,67826,68252,68699,69652,71221,71262,73198,75600,76840,77224,79718,81454,81575,86567,86857,94531,95945,104216,110280,111100,118757,126816,129186,130621,140499,146871,147211,147509,153093,155202,118246,122402,125913,128755,134067,140521,149905,154330,163627,170225,172178,179611,182912,184763,185199,187555,190345,190680,193377,196074,198447,199974,202194,203809,204068,206387,208393,209819,209836,211258,110125.0
Bankura,4701,4792,4792,4792,4898,5168,5274,5861,6420,7034,7373,7496,7614,7619,7701,7703,7704,7708,7724,7724,7725,7725,7725,7743,7747,8155,8155,8155,8155,8192,8268,8378,8595,8762,8762,9491,10829,11957,12860,13991,14707,14916,15917,15917,18242,19232,20703,22312,22735,24697,26543,28284,29964,32026,33640,33640,33640,35440,36585,47980,49242,50349,51565,53117,55244,60595,63659,66766,68920,69602,70445,70555,70653,70652,70897,71009,71002,71090,71230,71393,71541,71739,72076,72071,72858,73896,74583,74960,75605,31415.0
Cooch Behar,31415,31570,32028,33019,34990,36888,37058,37439,38596,39004,39071,39208,39243,39887,41862,41883,64446,68325,68379,68379,68379,68652,68652,68661,68747,68765,68765,68765,68765,69326,70268,71185,72404,73772,74027,75944,77431,79055,80328,82417,83440,83798,88279,88546,93759,95343,104985,113641,116825,126182,132851,134832,136984,152199,161098,161490,161668,163261,164294,129003,130943,134583,145355,154886,168904,181025,186609,190114,190638,192596,196139,197420,198238,198760,200065,200645,200832,201111,201586,203005,204135,205844,206978,207494,208894,210507,211515,212332,213429,116338.0
Dakshin Dinajpur,19895,19903,20044,20446,22331,23986,24058,25457,25548,25628,26129,26154,26176,27127,27152,27154,39461,40576,40807,40808,40808,40873,40878,40879,40883,39571,39571,39571,39571,39945,40725,42003,43200,44011,44095,46086,47672,48358,48748,51709,52648,52873,57247,57250,60346,62035,71063,75105,75988,83783,88602,89984,91062,101347,105549,105915,105995,111541,112950,103970,109794,111925,113201,119884,124812,129959,133041,143560,147314,148080,157557,161190,161432,161424,162905,163286,163284,163842,165103,165666,166322,168249,170469,170467,170450,171561,172597,172843,173207,84457.0
Darjeeling,34129,34653,35620,37309,39827,40065,40072,41154,41628,41640,41758,41817,42305,42306,42475,42620,42709,52571,52743,53079,53160,53171,53185,53215,53336,53573,53573,53573,53573,54375,54966,56130,58091,59366,59539,63133,67414,70196,71891,77009,78616,79310,86030,86093,95427,101667,108238,110515,111448,118825,126895,130480,136245,141837,144394,144522,144522,148600,150927,141259,144203,145581,147452,150995,155916,164704,172384,180652,183989,185690,190703,194956,196452,197416,199873,199898,200036,203550,208534,213415,219207,222559,223698,224150,228448,231550,232491,235946,237361,113378.0
South 24 Parganas,13717,14088,14145,14816,15409,15933,15933,16698,17247,17606,18314,19042,19412,20749,21292,21354,35875,40282,42004,42004,42004,42004,42004,42004,42004,42004,42004,42004,42004,42206,42744,43845,45447,47567,48350,53307,58644,67642,74065,82782,88435,89175,99444,99519,115235,119920,132196,134864,134870,144870,152576,155171,156793,166374,172590,172591,172591,180013,184399,180913,182961,185727,189203,194731,199600,209004,221985,226948,240615,242169,246081,246945,248708,249232,251110,254415,255045,255692,258716,261640,263707,264381,264438,265611,268717,270310,273351,274359,274828,127116.0
Purba Bardhaman,37464,39282,40403,43438,47030,47131,47132,51193,51877,52629,53252,53862,54534,54535,55062,55069,61955,89305,90057,91122,96160,96355,96387,96534,96571,96712,96712,96712,96712,96891,97346,98074,99186,100402,100959,104193,109959,117241,120516,129008,135407,136221,150952,150979,175573,179934,201635,211786,213057,220681,226772,233961,238782,260389,279638,280025,280046,289090,295418,269127,273032,279617,283425,304782,314778,327881,336653,369775,377455,380293,387011,388552,389594,390563,392457,394152,396699,401715,409202,414741,418259,422897,425471,428511,434995,439748,444407,448133,450778,210270.0
Hooghly,43873,44897,45521,46539,48475,50691,50797,53385,56086,57276,59287,60758,61947,61953,90597,90663,91513,90410,93611,93691,93692,93725,94149,94563,94586,92661,92661,92661,92661,93198,94213,96724,101256,106583,106628,115649,124709,132295,134954,146722,153938,154249,170633,170827,191681,203674,227516,238044,240203,257506,277292,288235,304821,333859,350938,350981,363462,381212,388438,384892,400021,406592,415090,427404,440228,457802,479723,500087,506676,510819,530632,539963,541866,541860,542807,545064,545199,547068,551083,556039,560787,569564,573880,574155,582649,588410,590534,594184,597713,270074.0
Howrah,48266,49876,51788,53351,55448,56738,56789,57108,57811,57929,57990,58031,58069,58071,58150,58156,58208,78802,89578,89578,89587,90214,90301,90596,90652,90827,90827,90827,90827,91898,93674,96380,100786,104753,104834,109873,115150,120087,122379,129646,136880,137431,147487,147545,160092,165329,180464,190712,191566,203096,210022,217331,221857,239483,248729,248728,249478,260794,268602,261923,267509,274732,283147,293078,300109,313268,326222,338870,344678,347186,361279,366625,371763,373859,379858,387553,390964,400117,406518,411659,417342,423025,426491,427450,434226,438777,443402,445959,447048,203866.0
Jalpaiguri,23435,23671,23911,24133,24754,25100,25100,25618,26079,26604,30202,31320,32074,32074,32618,32733,33940,44831,45717,45718,45754,45801,48036,48658,49171,51274,51274,51274,51274,52353,52888,53837,54421,54965,54965,55943,56816,57852,58364,59500,60228,60264,61410,61432,65710,68239,71438,73197,73474,75287,77569,79278,81606,83717,85152,85160,85168,86097,88384,71287,72411,73829,74667,77139,80534,87042,91365,99732,104396,105190,109553,114736,116446,116675,117524,117589,117616,118777,120923,124600,128382,131591,133470,133489,134573,138758,140018,141573,142765,72174.0
Jhargram,16808,16812,17203,18190,18590,19182,19182,19775,20534,21246,21647,21963,22285,22285,22415,22511,29425,29352,29607,29943,29943,29943,29943,29959,29959,30069,30069,30069,30069,30177,30309,30651,31052,31418,31418,31787,32176,32702,33068,33629,33988,33997,34813,34813,36085,36731,37592,38181,38229,39402,40308,41195,42034,42398,42398,42398,42613,43307,43796,39232,39637,40140,40492,41463,42185,44431,45732,47971,49298,49859,52387,53526,54887,55201,56496,57736,58304,60039,61636,63087,63165,63262,63230,63250,63445,63523,63565,63606,63641,38495.0
Kalimpong,4356,4356,4426,4755,5286,5286,5286,5508,5638,5644,5652,5663,5675,5675,5691,5691,5705,5847,7208,7272,7272,7272,7331,7503,7503,7503,7503,7503,7503,7638,7737,7888,8019,8100,8100,8903,9892,11583,12642,14367,15360,15773,17546,17648,22257,24075,25620,26834,26940,28007,29296,29690,30025,30775,31255,31255,31255,32218,33039,31422,31676,31948,32317,33000,33657,35335,36275,37280,37866,38237,39556,40822,41487,42024,42439,42438,42446,42938,43595,44185,44716,45953,47211,47412,48689,50343,50869,51057,51346,22694.0
Kolkata,194890,197927,199793,204290,209693,210301,214870,218635,220195,227782,230324,232378,233772,234584,238027,238171,239998,240266,244543,257947,257957,258800,262789,263908,264220,267787,267787,267787,267787,270338,273105,277920,283983,290199,291068,299218,308170,314605,319606,328881,336244,337562,347623,347684,364047,375027,387207,397075,399112,411340,423804,430973,442530,455178,464540,464602,465580,476570,482109,475146,496495,514024,534126,551193,565620,597976,625727,652093,671094,685323,706871,724677,744873,748215,773436,802961,802955,832146,860366,887020,915463,947244,982401,982595,1007687,1039792,1062845,1083073,1114405,464280.0
Malda,31594,32442,33601,35281,38650,41931,41932,42002,42142,42192,42454,42489,42501,42504,63846,63851,64106,64117,64352,64392,64541,65595,65595,65598,66341,66750,66750,66750,66750,68221,69134,70666,72079,73989,73989,77987,84500,87561,88074,94251,95986,95987,103339,103411,107613,108634,119792,131630,133449,147545,156206,160063,162431,167720,172859,172875,172875,176984,182202,157007,163030,167366,174220,180030,187860,198800,204739,211509,217146,219943,224293,227339,229222,229776,232037,234447,235820,238012,240096,243784,247621,252272,255372,256644,258568,260837,263993,265437,269392,132693.0
Murshidabad,56519,58272,60995,62448,64168,64759,65745,65915,66109,66458,66617,66916,66974,69794,101197,105837,117804,117770,118204,118299,118300,118339,118342,118533,118544,119435,119435,119435,119435,120925,122386,124083,127119,130758,133758,140073,147503,157070,164206,174567,183461,184202,198609,198705,221890,227416,235912,240566,241158,247773,257211,264313,269041,285272,300076,300137,300137,300418,323038,291171,313159,327189,337058,348294,361477,382277,390590,419659,435312,437883,445792,446645,446556,446516,447774,448549,449135,453450,456635,460245,462704,466995,469383,469408,472272,475064,475986,476104,477210,244527.0
Nadia,59286,60910,61046,61446,61467,61599,61599,61653,61951,62381,62673,62939,63173,63174,91497,91937,92606,101723,118039,128678,128893,129107,129514,130124,130435,103833,103833,103833,103833,104507,105563,106942,108492,110250,110847,114198,118389,121629,121997,129657,132430,133084,140957,140958,156088,160028,171355,174152,174170,178607,183970,186969,189392,201317,210749,210749,210790,223461,235730,222430,234004,244093,253391,267610,279761,300666,309632,313187,320696,327165,337262,342130,344207,344351,346890,350037,350605,357208,368043,372585,374962,377909,379530,379856,384681,387300,391058,393702,395009,194051.0
Purba Medinipur,7248,7302,7425,7425,7467,7467,7467,7571,7879,8038,8458,9420,10163,10163,10384,10409,10409,10291,24153,24153,24153,25518,25521,26082,26082,26082,26082,26082,26082,26351,26835,27387,28548,30113,30113,31912,35192,40225,40225,46050,50981,51807,57692,57756,69730,73356,82201,89048,89238,92615,95480,101264,103741,105559,107108,107108,107108,113451,117707,130499,141700,150173,158637,167801,178840,193340,205974,207353,223453,225068,225482,225762,234496,234705,234950,235816,235804,236634,237671,239074,239482,246089,247303,247286,251485,252838,254002,253998,254122,101581.0
North 24 Parganas,83735,86023,90603,95386,98853,102036,102466,106523,109866,110920,112637,114189,114645,115080,115548,117838,119352,119195,128282,166305,176707,176711,179330,182661,184066,184479,184479,184479,184479,186114,187867,190153,193307,196273,197592,202208,207593,212646,217863,225314,229537,229890,241036,241072,255288,263983,280435,286956,287659,306038,320693,329301,342386,363110,372255,372279,372983,387263,394132,388503,403586,417535,431452,452145,470159,505653,530302,554912,568671,576068,586170,590240,593479,594668,612817,613706,614560,638647,662644,673565,680568,692549,703981,705837,723893,734329,739684,744588,747506,335871.0
